base,phylum,rank,AUROC,AUPR
t6-320,Annelida,class,0.996351071427648,0.9640911688759364
t12-480,Annelida,class,0.9934773556591164,0.973443871584164
t6-320,Chordata,class,0.999745941317397,0.9945461734961633
t12-480,Chordata,class,0.9998234264165147,0.992835431803537
t6-320,Cnidaria,class,0.9976099152638122,0.9960438407235401
t12-480,Cnidaria,class,0.9975999545967331,0.9961842460549529
t6-320,Echinodermata,class,0.9980757802049689,0.9962352354335291
t12-480,Echinodermata,class,0.9981916791857294,0.9966482821286894
t6-320,Mollusca,class,0.9994514389271439,0.9984763116578798
t12-480,Mollusca,class,0.9994178053724183,0.9984466739431477
t6-320,Nematoda,class,0.9848526199667887,0.9652781884426039
t6-320,Platyhelminthes,class,0.9510383031325114,0.9391136659734962
t12-480,Nematoda,class,0.9850469701986702,0.9756042867650464
t12-480,Platyhelminthes,class,0.9887851439705321,0.9705932218870713
t12-480,Arthropoda,class,0.9983641133762123,0.9897991931422363
t6-320,Arthropoda,class,0.9994715917976817,0.9824159119677063
t6-320,Annelida,order,0.9633547948932577,0.8856033279933654
t12-480,Annelida,order,0.9504747581917254,0.878169551146584
t6-320,Chordata,order,0.9921835721950839,0.9575045174840295
t12-480,Chordata,order,0.993554071311417,0.9580842307440637
t6-320,Cnidaria,order,0.9843501728501608,0.9617407488149721
t12-480,Cnidaria,order,0.9882977858506645,0.9751344127406765
t6-320,Echinodermata,order,0.9871881900539723,0.9675902658983568
t12-480,Echinodermata,order,0.9890439744132562,0.9602782687085611
t6-320,Mollusca,order,0.989600836977166,0.9309275356414407
t12-480,Mollusca,order,0.9924655365577957,0.9304813493109028
t6-320,Nematoda,order,0.9746803611001803,0.9120992434751541
t6-320,Platyhelminthes,order,0.9824588745014118,0.9768829874353268
t12-480,Nematoda,order,0.9816882436915103,0.9502253358995496
t12-480,Platyhelminthes,order,0.9888284476303173,0.9818914735679638
t12-480,Arthropoda,order,0.9989905732609851,0.9763954108414924
t6-320,Arthropoda,order,0.9984596521707076,0.9744823241963504
t6-320,Annelida,family,0.9697345436897463,0.8742279188771603
t12-480,Annelida,family,0.9641782236746771,0.8800500413690343
t6-320,Chordata,family,0.990722154913351,0.945846196498107
t12-480,Chordata,family,0.9917167429178428,0.9473548132797329
t6-320,Cnidaria,family,0.9377158463851883,0.8868552997883833
t12-480,Cnidaria,family,0.9557442520563817,0.8942368294154925
t6-320,Echinodermata,family,0.9819086263569405,0.9414690067528148
t12-480,Echinodermata,family,0.9902197047374262,0.9636637221883025
t6-320,Mollusca,family,0.9694775546934206,0.8729346417942391
t12-480,Mollusca,family,0.9646415167130058,0.8832999221337092
t6-320,Nematoda,family,0.9286965365614142,0.7842896542314421
t6-320,Platyhelminthes,family,0.991046647886956,0.9773853916581321
t12-480,Nematoda,family,0.9652687726613848,0.8682127971362449
t12-480,Platyhelminthes,family,0.9937744578434059,0.9702629135039771
t12-480,Arthropoda,family,0.9924183548052732,0.9242256312013848
t6-320,Arthropoda,family,0.9933169495792318,0.9320285268673479
t6-320,Annelida,genus,0.9321183651090531,0.8088115188384235
t12-480,Annelida,genus,0.9364614519861256,0.8258519800412513
t6-320,Chordata,genus,0.9707897902759345,0.8971675183743466
t12-480,Chordata,genus,0.9706260638594322,0.900844903081539
t6-320,Cnidaria,genus,0.9498410635879071,0.8860789449831363
t12-480,Cnidaria,genus,0.9520704441647172,0.8935621624042733
t6-320,Echinodermata,genus,0.947951178818565,0.9138751952829967
t12-480,Echinodermata,genus,0.9844626233587594,0.9393544616991103
t6-320,Mollusca,genus,0.9378969414330776,0.8213522929179942
t12-480,Mollusca,genus,0.9365848671022842,0.8356391101826636
t6-320,Nematoda,genus,0.8795815869463677,0.7662450583462834
t6-320,Platyhelminthes,genus,0.9907696621547317,0.9753924723081816
t12-480,Nematoda,genus,0.9349286653987691,0.8323865079956725
t12-480,Platyhelminthes,genus,0.9932921356126775,0.9759273046720632
t12-480,Arthropoda,genus,0.9759445491349017,0.861058737471223
t6-320,Arthropoda,genus,0.9736124030780393,0.8668405410565097
t6-320,Annelida,species,0.9267722516060011,0.8023779728947884
t12-480,Annelida,species,0.9183439189952751,0.814545339289927
t6-320,Chordata,species,0.9124080523036203,0.7958981100363389
t12-480,Chordata,species,0.8970227485782587,0.7786667219801817
t6-320,Cnidaria,species,0.7619291462458816,0.561529126195365
t12-480,Cnidaria,species,0.7657920921132304,0.5819637900296863
t6-320,Echinodermata,species,0.9578735802058251,0.8934738227224583
t12-480,Echinodermata,species,0.9403109545727883,0.8667752874432223
t6-320,Mollusca,species,0.9120607504464011,0.7788136454411752
t12-480,Mollusca,species,0.9153925728151877,0.7848299163252279
t6-320,Nematoda,species,0.9789840549152493,0.9347914243731112
t6-320,Platyhelminthes,species,0.9141057724391057,0.8391566698974106
t12-480,Nematoda,species,0.9586993913991965,0.92456345234123
t12-480,Platyhelminthes,species,0.9662996594478075,0.8660933596736067
t12-480,Arthropoda,species,0.8963713414877541,0.9301153369079191
t6-320,Arthropoda,species,0.9373058601629496,0.9326844162971919
